"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","YSR Kadapa","Upparapalli",7.82,0.174,27.307,180.15,1199.25,301.4,6.57,3.86,0.743,7.66,1.14,9.78,0.54,79.3842777774,13.9026111107,""
2016,"Andhra Pradesh","YSR Kadapa","R.R.Puram",8.17,0.278,28.502,344.6,1546.05,366,10.695,1.38,1.866,8.12,1.22,10.52,0.549,79.3339166664,13.9683333329,""
2016,"Andhra Pradesh","YSR Kadapa","R.R.Puram",8.19,0.27,28.143,387.85,1464.7,349.15,10.944,1.32,1.713,7.68,1.18,9.84,0.616,79.3338333334,13.9682499999,""
2016,"Andhra Pradesh","YSR Kadapa","R.R.Puram",8.22,0.334,29.747,361.4,1480.3,362.45,11.357,1.28,1.986,7.02,1.14,9.6,0.604,79.3339166664,13.9691388889,""
2016,"Andhra Pradesh","YSR Kadapa","K.Budugunta Palli",8.01,0.245,16.695,276.75,1196.25,247.2,10.827,1.26,1.56,10.9,1,12.02,0.428,79.3193888886,13.9337222225,""
2016,"Andhra Pradesh","YSR Kadapa","K.Budugunta Palli",7.03,0.076,4.519,134.75,384.05,107.3,6.333,0.28,0.606,13.88,0.62,14.7,0.252,79.3193611112,13.9338333337,""
2016,"Andhra Pradesh","YSR Kadapa","K.Budugunta Palli",6.58,0.082,4.38,101.1,326.75,87.65,4.983,0.3,0.377,16.78,0.64,19.72,0.238,79.3360555555,13.9336944442,""
2016,"Andhra Pradesh","YSR Kadapa","Ananthaiagaripalli",7.95,0.175,27.114,180.9,1580.7,296.9,10.725,1.12,1.367,8.88,1.18,19.42,0.659,79.2016027781,14.1683472225,""
2016,"Andhra Pradesh","YSR Kadapa","Ananthaiagaripalli",8.22,0.243,17.656,236.25,2400.15,604.8,28.094,2.2,1.705,10.1,1.94,7.8,0.814,79.218075,14.1506666662,""
2016,"Andhra Pradesh","YSR Kadapa","Ananthaiagaripalli",8.1,0.095,7.302,158.85,1459.3,384.4,5.528,1.34,0.733,3.98,1.74,7.5,0.414,79.2180972222,14.1506944445,""
2016,"Andhra Pradesh","YSR Kadapa","Vallurupalli",8.14,0.344,40.829,282.6,2239.3,655.7,37.22,1.06,1.765,14.36,1.54,7.7,0.841,79.2348555552,14.1179083337,""
2016,"Andhra Pradesh","YSR Kadapa","Dalaipalli",8.16,0.175,8.106,296.95,2135,596.45,24.774,1.34,1.847,12.96,1.88,11.8,0.736,79.2169722225,14.1170277778,""
2016,"Andhra Pradesh","YSR Kadapa","Dalaipalli",8.24,0.158,13.955,264.75,2314.7,750.95,7.422,1,1.691,18.16,2.16,8.8,0.985,79.2175277778,14.1169750002,""
2016,"Andhra Pradesh","YSR Kadapa","Kammannavaripalli",8.16,0.309,5.462,159.6,2054.9,695.2,18.437,0.62,2.016,10.06,1.52,9.16,0.863,79.2176944446,14.1183111113,""
2016,"Andhra Pradesh","YSR Kadapa","Kammannavaripalli",8.3,0.446,50.761,161,2025,711.4,18.31,4.24,2.007,11.02,2.84,11.74,1.182,79.2176833335,14.134069444,""
2016,"Andhra Pradesh","YSR Kadapa","Reddipalli",7.72,0.182,44.471,278.15,1077.35,513.15,10.991,1.34,1.603,4.92,1.06,25.32,0.562,79.2190305557,14.0666694448,""
2016,"Andhra Pradesh","YSR Kadapa","Reddipalli",7.99,0.306,26.716,137.45,721.5,527.75,16.655,0.56,2.056,3.48,0.8,8.88,0.381,79.2194194442,14.0689,""
2016,"Andhra Pradesh","YSR Kadapa","Rangampalli",7.25,0.201,21.294,164.85,1050.9,294.65,7.367,1,0.703,7.44,1.08,24.52,0.564,79.2177666665,14.3352777781,""
2016,"Andhra Pradesh","YSR Kadapa","Thallamapuram",8.26,0.146,9.694,177.85,6026.05,867.95,4.485,0.26,0.701,9.34,0.64,10.04,0.257,78.5846525004,14.7010475001,""
2016,"Andhra Pradesh","YSR Kadapa","Peddadandluru",8.7,0.298,13.927,100.2,1446.6,168.6,17.455,0.92,1.317,4.62,1.1,11.66,0.673,78.4339305556,14.7519999999,""
